prname,pruid,reporting_year,reporting_week,date,numtests_weekly,percentpositivity_weekly,update
Nunavut,62,2024,11,2024-03-16,214,8.9,1
Canada,1,2024,11,2024-03-16,32416,6.1,
British Columbia,59,2024,12,2024-03-23,3552,9.8,1
Alberta,48,2024,12,2024-03-23,4562,5.7,1
Saskatchewan,47,2024,12,2024-03-23,1605,5,1
Manitoba,46,2024,12,2024-03-23,1380,8.9,1
Ontario,35,2024,12,2024-03-23,7772,4.3,1
Quebec,24,2024,12,2024-03-23,8609,2.3,1
Newfoundland and Labrador,10,2024,12,2024-03-23,523,9.4,1
New Brunswick,13,2024,12,2024-03-23,1114,5.5,1
Nova Scotia,12,2024,12,2024-03-23,1265,8.5,1
Prince Edward Island,11,2024,12,2024-03-23,304,9.9,1
Yukon,60,2024,12,2024-03-23,33,6.1,1
Northwest Territories,61,2024,12,2024-03-23,40,5,1
Nunavut,62,2024,12,2024-03-23,232,5.2,1
Canada,1,2024,12,2024-03-23,30991,5.2,
British Columbia,59,2024,13,2024-03-30,3450,9.2,1
Alberta,48,2024,13,2024-03-30,4487,4.6,1
Saskatchewan,47,2024,13,2024-03-30,1750,4.8,1
Manitoba,46,2024,13,2024-03-30,1280,6.6,1
Ontario,35,2024,13,2024-03-30,6962,4.3,1
Quebec,24,2024,13,2024-03-30,8537,2.7,1
Newfoundland and Labrador,10,2024,13,2024-03-30,533,11.1,1
New Brunswick,13,2024,13,2024-03-30,867,4.5,1
Nova Scotia,12,2024,13,2024-03-30,1217,6.7,1
Prince Edward Island,11,2024,13,2024-03-30,214,7,1
Yukon,60,2024,13,2024-03-30,31,0,1
Northwest Territories,61,2024,13,2024-03-30,25,12,1
Nunavut,62,2024,13,2024-03-30,216,7.9,1
Canada,1,2024,13,2024-03-30,29569,4.9,
British Columbia,59,2024,14,2024-04-06,3303,10.5,1
Alberta,48,2024,14,2024-04-06,4400,3.7,1
Saskatchewan,47,2024,14,2024-04-06,1613,4.8,1
Manitoba,46,2024,14,2024-04-06,1325,6.5,1
Ontario,35,2024,14,2024-04-06,7100,4.6,1
Quebec,24,2024,14,2024-04-06,8696,2.4,1
Newfoundland and Labrador,10,2024,14,2024-04-06,557,8.6,1
New Brunswick,13,2024,14,2024-04-06,975,4.3,1
Nova Scotia,12,2024,14,2024-04-06,1278,6.5,1
Prince Edward Island,11,2024,14,2024-04-06,154,3.2,1
Yukon,60,2024,14,2024-04-06,57,1.8,1
Northwest Territories,61,2024,14,2024-04-06,35,2.9,1
Nunavut,62,2024,14,2024-04-06,181,6.6,1
Canada,1,2024,14,2024-04-06,29674,4.7,
British Columbia,59,2024,15,2024-04-13,2987,9.2,1
Alberta,48,2024,15,2024-04-13,4223,4.7,1
Saskatchewan,47,2024,15,2024-04-13,1682,4.7,1
Manitoba,46,2024,15,2024-04-13,1355,8.1,1
Ontario,35,2024,15,2024-04-13,6878,5.2,1
Quebec,24,2024,15,2024-04-13,8694,2.3,1
Newfoundland and Labrador,10,2024,15,2024-04-13,593,13,1
New Brunswick,13,2024,15,2024-04-13,1013,3.7,1
Nova Scotia,12,2024,15,2024-04-13,1464,5.9,1
Prince Edward Island,11,2024,15,2024-04-13,173,3.5,1
Yukon,60,2024,15,2024-04-13,38,2.6,1
Northwest Territories,61,2024,15,2024-04-13,29,3.4,1
Nunavut,62,2024,15,2024-04-13,203,6.9,1
Canada,1,2024,15,2024-04-13,29332,4.9,
British Columbia,59,2024,16,2024-04-20,3017,9,1
Alberta,48,2024,16,2024-04-20,4008,5,1
Saskatchewan,47,2024,16,2024-04-20,1347,3.7,1
Manitoba,46,2024,16,2024-04-20,1260,7.5,1
Ontario,35,2024,16,2024-04-20,6469,4.6,1
Quebec,24,2024,16,2024-04-20,7913,2.4,1
Newfoundland and Labrador,10,2024,16,2024-04-20,582,12,1
New Brunswick,13,2024,16,2024-04-20,955,4,1
Nova Scotia,12,2024,16,2024-04-20,1325,6,1
Prince Edward Island,11,2024,16,2024-04-20,108,4.6,1
Yukon,60,2024,16,2024-04-20,41,0,1
Northwest Territories,61,2024,16,2024-04-20,29,0,1
Nunavut,62,2024,16,2024-04-20,164,7.9,1
Canada,1,2024,16,2024-04-20,27218,4.8,
British Columbia,59,2024,17,2024-04-27,2961,9.3,1
Alberta,48,2024,17,2024-04-27,4265,5.4,1
Saskatchewan,47,2024,17,2024-04-27,1285,4.6,1
Manitoba,46,2024,17,2024-04-27,1284,5.5,1
Ontario,35,2024,17,2024-04-27,6117,5.5,1
Quebec,24,2024,17,2024-04-27,7721,3.5,1
Newfoundland and Labrador,10,2024,17,2024-04-27,617,14.1,1
New Brunswick,13,2024,17,2024-04-27,870,4,1
Nova Scotia,12,2024,17,2024-04-27,1155,7.3,1
Prince Edward Island,11,2024,17,2024-04-27,148,2.7,1
Yukon,60,2024,17,2024-04-27,29,3.4,1
Northwest Territories,61,2024,17,2024-04-27,25,8,1
Nunavut,62,2024,17,2024-04-27,184,9.2,1
Canada,1,2024,17,2024-04-27,26661,5.5,
British Columbia,59,2024,18,2024-05-04,3198,10.6,1
Alberta,48,2024,18,2024-05-04,4245,6.9,1
Saskatchewan,47,2024,18,2024-05-04,1420,5.4,1
Manitoba,46,2024,18,2024-05-04,1147,6.5,1
Ontario,35,2024,18,2024-05-04,6486,8,1
Quebec,24,2024,18,2024-05-04,7595,3.5,1
Newfoundland and Labrador,10,2024,18,2024-05-04,685,9.5,1
New Brunswick,13,2024,18,2024-05-04,846,2.8,1
Nova Scotia,12,2024,18,2024-05-04,1285,6.2,1
Prince Edward Island,11,2024,18,2024-05-04,168,4.2,1
Yukon,60,2024,18,2024-05-04,34,17.6,1
Northwest Territories,61,2024,18,2024-05-04,18,0,1
Nunavut,62,2024,18,2024-05-04,187,14.4,1
Canada,1,2024,18,2024-05-04,27314,6.5,
British Columbia,59,2024,19,2024-05-11,3142,13.1,1
Alberta,48,2024,19,2024-05-11,4198,6.8,1
Saskatchewan,47,2024,19,2024-05-11,1243,4.2,1
Manitoba,46,2024,19,2024-05-11,1217,9.9,1
Ontario,35,2024,19,2024-05-11,6071,7.8,1
Quebec,24,2024,19,2024-05-11,7355,4.9,1
Newfoundland and Labrador,10,2024,19,2024-05-11,633,12,1
New Brunswick,13,2024,19,2024-05-11,769,3.5,1
Nova Scotia,12,2024,19,2024-05-11,1244,8.4,1
Prince Edward Island,11,2024,19,2024-05-11,142,5.6,1
Yukon,60,2024,19,2024-05-11,45,2.2,1
Northwest Territories,61,2024,19,2024-05-11,10,0,1
Nunavut,62,2024,19,2024-05-11,178,15.2,1
Canada,1,2024,19,2024-05-11,26247,7.4,
British Columbia,59,2024,20,2024-05-18,2982,12.2,1
Alberta,48,2024,20,2024-05-18,4010,7.9,1
Saskatchewan,47,2024,20,2024-05-18,1158,6.5,1
Manitoba,46,2024,20,2024-05-18,1138,9.2,1
Ontario,35,2024,20,2024-05-18,5798,8.8,1
Quebec,24,2024,20,2024-05-18,7113,6.2,1
Newfoundland and Labrador,10,2024,20,2024-05-18,849,11.1,1
New Brunswick,13,2024,20,2024-05-18,792,3.9,1
Nova Scotia,12,2024,20,2024-05-18,1100,10.2,1
Prince Edward Island,11,2024,20,2024-05-18,87,4.6,1
Yukon,60,2024,20,2024-05-18,44,6.8,1
Northwest Territories,61,2024,20,2024-05-18,22,0,1
Nunavut,62,2024,20,2024-05-18,166,5.4,1
Canada,1,2024,20,2024-05-18,25259,8.2,
British Columbia,59,2024,21,2024-05-25,2910,10.9,1
Alberta,48,2024,21,2024-05-25,3852,9.9,1
Saskatchewan,47,2024,21,2024-05-25,1118,5.8,1
Manitoba,46,2024,21,2024-05-25,1015,4.9,1
Ontario,35,2024,21,2024-05-25,5434,8,1
Quebec,24,2024,21,2024-05-25,6510,6.3,1
Newfoundland and Labrador,10,2024,21,2024-05-25,798,9.5,1
New Brunswick,13,2024,21,2024-05-25,709,4.4,1
Nova Scotia,12,2024,21,2024-05-25,1103,8.3,1
Prince Edward Island,11,2024,21,2024-05-25,121,10.7,1
Yukon,60,2024,21,2024-05-25,35,0,1
Northwest Territories,61,2024,21,2024-05-25,17,11.8,1
Nunavut,62,2024,21,2024-05-25,167,3.6,1
Canada,1,2024,21,2024-05-25,23789,7.9,
British Columbia,59,2024,22,2024-06-01,2843,11.2,1
Alberta,48,2024,22,2024-06-01,3799,10.4,1
Saskatchewan,47,2024,22,2024-06-01,1070,7.2,1
Manitoba,46,2024,22,2024-06-01,990,8.5,1
Ontario,35,2024,22,2024-06-01,5462,7,1
Quebec,24,2024,22,2024-06-01,6091,8.1,1
Newfoundland and Labrador,10,2024,22,2024-06-01,700,12.1,1
New Brunswick,13,2024,22,2024-06-01,814,3.8,1
Nova Scotia,12,2024,22,2024-06-01,950,7.1,1
Prince Edward Island,11,2024,22,2024-06-01,113,6.2,1
Yukon,60,2024,22,2024-06-01,42,2.4,1
Northwest Territories,61,2024,22,2024-06-01,21,4.8,1
Nunavut,62,2024,22,2024-06-01,155,4.5,1
Canada,1,2024,22,2024-06-01,23050,8.5,
British Columbia,59,2024,23,2024-06-08,2894,14.9,1
Alberta,48,2024,23,2024-06-08,3875,11.9,1
Saskatchewan,47,2024,23,2024-06-08,1144,7.6,1
Manitoba,46,2024,23,2024-06-08,977,8.9,1
Ontario,35,2024,23,2024-06-08,5480,6.9,1
Quebec,24,2024,23,2024-06-08,6089,8.7,1
Newfoundland and Labrador,10,2024,23,2024-06-08,669,14.2,1
New Brunswick,13,2024,23,2024-06-08,762,5.1,1
Nova Scotia,12,2024,23,2024-06-08,1030,11.5,1
Prince Edward Island,11,2024,23,2024-06-08,104,13.5,1
Yukon,60,2024,23,2024-06-08,36,19.4,1
Northwest Territories,61,2024,23,2024-06-08,16,0,1
Nunavut,62,2024,23,2024-06-08,170,7.1,1
Canada,1,2024,23,2024-06-08,23246,9.7,
British Columbia,59,2024,24,2024-06-15,2888,14.7,1
Alberta,48,2024,24,2024-06-15,3795,10.9,1
Saskatchewan,47,2024,24,2024-06-15,1103,9.5,1
Manitoba,46,2024,24,2024-06-15,899,11.8,1
Ontario,35,2024,24,2024-06-15,5094,7.6,1
Quebec,24,2024,24,2024-06-15,5907,9.2,1
Newfoundland and Labrador,10,2024,24,2024-06-15,570,16,1
New Brunswick,13,2024,24,2024-06-15,698,4.3,1
Nova Scotia,12,2024,24,2024-06-15,910,8.4,1
Prince Edward Island,11,2024,24,2024-06-15,73,13.7,1
Yukon,60,2024,24,2024-06-15,65,33.8,1
Northwest Territories,61,2024,24,2024-06-15,19,15.8,1
Nunavut,62,2024,24,2024-06-15,121,7.4,1
Canada,1,2024,24,2024-06-15,22142,10,
British Columbia,59,2024,25,2024-06-22,2978,14.6,1
Alberta,48,2024,25,2024-06-22,3486,11.3,1
Saskatchewan,47,2024,25,2024-06-22,1164,10.7,1
Manitoba,46,2024,25,2024-06-22,957,7.4,1
Ontario,35,2024,25,2024-06-22,5014,8.1,1
Quebec,24,2024,25,2024-06-22,6396,11.4,1
Newfoundland and Labrador,10,2024,25,2024-06-22,517,15.1,1
New Brunswick,13,2024,25,2024-06-22,697,4.3,1
Nova Scotia,12,2024,25,2024-06-22,786,7.8,1
Prince Edward Island,11,2024,25,2024-06-22,83,6,1
Yukon,60,2024,25,2024-06-22,67,20.9,1
Northwest Territories,61,2024,25,2024-06-22,23,13,1
Nunavut,62,2024,25,2024-06-22,113,3.5,1
Canada,1,2024,25,2024-06-22,22281,10.6,
British Columbia,59,2024,26,2024-06-29,2894,15.9,1
Alberta,48,2024,26,2024-06-29,3362,12.1,1
Saskatchewan,47,2024,26,2024-06-29,1092,13.6,1
Manitoba,46,2024,26,2024-06-29,890,10.3,1
Ontario,35,2024,26,2024-06-29,5114,8.8,1
Quebec,24,2024,26,2024-06-29,6241,11.5,1
Newfoundland and Labrador,10,2024,26,2024-06-29,502,14.7,1
New Brunswick,13,2024,26,2024-06-29,679,6.5,1
Nova Scotia,12,2024,26,2024-06-29,877,9.1,1
Prince Edward Island,11,2024,26,2024-06-29,80,27.5,1
Yukon,60,2024,26,2024-06-29,56,10.7,1
Northwest Territories,61,2024,26,2024-06-29,19,5.3,1
Nunavut,62,2024,26,2024-06-29,119,5.9,1
Canada,1,2024,26,2024-06-29,21925,11.5,
British Columbia,59,2024,27,2024-07-06,2797,17.2,1
Alberta,48,2024,27,2024-07-06,3566,10.9,1
Saskatchewan,47,2024,27,2024-07-06,1234,13.6,1
Manitoba,46,2024,27,2024-07-06,830,8.2,1
Ontario,35,2024,27,2024-07-06,5011,9.4,1
Quebec,24,2024,27,2024-07-06,6476,13.6,1
Newfoundland and Labrador,10,2024,27,2024-07-06,544,15.4,1
New Brunswick,13,2024,27,2024-07-06,746,7.8,1
Nova Scotia,12,2024,27,2024-07-06,893,9.6,1
Prince Edward Island,11,2024,27,2024-07-06,132,18.2,1
Yukon,60,2024,27,2024-07-06,40,17.5,1
Northwest Territories,61,2024,27,2024-07-06,29,6.9,1
Nunavut,62,2024,27,2024-07-06,88,6.8,1
Canada,1,2024,27,2024-07-06,22386,12.2,
British Columbia,59,2024,28,2024-07-13,2823,18.4,1
Alberta,48,2024,28,2024-07-13,3710,9.2,1
Saskatchewan,47,2024,28,2024-07-13,1209,12.2,1
Manitoba,46,2024,28,2024-07-13,800,8,1
Ontario,35,2024,28,2024-07-13,5409,11.2,1
Quebec,24,2024,28,2024-07-13,7123,14.5,1
Newfoundland and Labrador,10,2024,28,2024-07-13,537,16.2,1
New Brunswick,13,2024,28,2024-07-13,803,8.1,1
Nova Scotia,12,2024,28,2024-07-13,893,15.3,1
Prince Edward Island,11,2024,28,2024-07-13,118,11.9,1
Yukon,60,2024,28,2024-07-13,29,13.8,1
Northwest Territories,61,2024,28,2024-07-13,30,16.7,1
Nunavut,62,2024,28,2024-07-13,74,2.7,1
Canada,1,2024,28,2024-07-13,23558,12.9,
British Columbia,59,2024,29,2024-07-20,2592,17,1
Alberta,48,2024,29,2024-07-20,3290,11.2,1
Saskatchewan,47,2024,29,2024-07-20,1054,11.5,1
Manitoba,46,2024,29,2024-07-20,949,14.9,1
Ontario,35,2024,29,2024-07-20,5333,11,1
Quebec,24,2024,29,2024-07-20,7517,17.2,1
Newfoundland and Labrador,10,2024,29,2024-07-20,560,16.6,1
New Brunswick,13,2024,29,2024-07-20,824,9.5,1
Nova Scotia,12,2024,29,2024-07-20,919,12.2,1
Prince Edward Island,11,2024,29,2024-07-20,224,11.2,1
Yukon,60,2024,29,2024-07-20,37,10.8,1
Northwest Territories,61,2024,29,2024-07-20,27,18.5,1
Nunavut,62,2024,29,2024-07-20,76,2.6,1
Canada,1,2024,29,2024-07-20,23402,14,
British Columbia,59,2024,30,2024-07-27,2530,15.1,1
Alberta,48,2024,30,2024-07-27,3141,10.9,1
Saskatchewan,47,2024,30,2024-07-27,1006,8.9,1
Manitoba,46,2024,30,2024-07-27,1021,14.7,1
Ontario,35,2024,30,2024-07-27,5611,12.2,1
Quebec,24,2024,30,2024-07-27,7925,17.6,1
Newfoundland and Labrador,10,2024,30,2024-07-27,430,17.4,1
New Brunswick,13,2024,30,2024-07-27,788,10.4,1
Nova Scotia,12,2024,30,2024-07-27,912,11.8,1
Prince Edward Island,11,2024,30,2024-07-27,100,24,1
Yukon,60,2024,30,2024-07-27,35,17.1,1
Northwest Territories,61,2024,30,2024-07-27,19,21.1,1
Nunavut,62,2024,30,2024-07-27,72,6.9,1
Canada,1,2024,30,2024-07-27,23590,14.2,
British Columbia,59,2024,31,2024-08-03,2646,18.1,1
Alberta,48,2024,31,2024-08-03,3219,11.3,1
Saskatchewan,47,2024,31,2024-08-03,1001,10.3,1
Manitoba,46,2024,31,2024-08-03,1048,14.3,1
Ontario,35,2024,31,2024-08-03,5277,13.5,1
Quebec,24,2024,31,2024-08-03,8404,19.7,1
Newfoundland and Labrador,10,2024,31,2024-08-03,497,14.3,1
New Brunswick,13,2024,31,2024-08-03,824,11.7,1
Nova Scotia,12,2024,31,2024-08-03,895,15.6,1
Prince Edward Island,11,2024,31,2024-08-03,117,8.5,1
Yukon,60,2024,31,2024-08-03,38,15.8,1
Northwest Territories,61,2024,31,2024-08-03,22,22.7,1
Nunavut,62,2024,31,2024-08-03,76,5.3,1
Canada,1,2024,31,2024-08-03,24064,15.8,
British Columbia,59,2024,32,2024-08-10,2477,15.9,1
Alberta,48,2024,32,2024-08-10,3171,10.4,1
Saskatchewan,47,2024,32,2024-08-10,1014,10.7,1
Manitoba,46,2024,32,2024-08-10,1024,16.8,1
Ontario,35,2024,32,2024-08-10,5600,12.8,1
Quebec,24,2024,32,2024-08-10,8116,18.1,1
Newfoundland and Labrador,10,2024,32,2024-08-10,532,14.8,1
New Brunswick,13,2024,32,2024-08-10,832,10.1,1
Nova Scotia,12,2024,32,2024-08-10,1039,16.3,1
Prince Edward Island,11,2024,32,2024-08-10,120,20.8,1
Yukon,60,2024,32,2024-08-10,43,16.3,1
Northwest Territories,61,2024,32,2024-08-10,27,7.4,1
Nunavut,62,2024,32,2024-08-10,94,3.2,1
Canada,1,2024,32,2024-08-10,24089,14.8,
British Columbia,59,2024,33,2024-08-17,2533,16.8,1
Alberta,48,2024,33,2024-08-17,3112,9.5,1
Saskatchewan,47,2024,33,2024-08-17,1108,13.4,1
Manitoba,46,2024,33,2024-08-17,1041,14.5,1
Ontario,35,2024,33,2024-08-17,6272,13.1,1
Quebec,24,2024,33,2024-08-17,8521,20.4,1
Newfoundland and Labrador,10,2024,33,2024-08-17,498,10.8,1
New Brunswick,13,2024,33,2024-08-17,884,11.3,1
Nova Scotia,12,2024,33,2024-08-17,1076,16.7,1
Prince Edward Island,11,2024,33,2024-08-17,174,22.4,1
Yukon,60,2024,33,2024-08-17,42,9.5,1
Northwest Territories,61,2024,33,2024-08-17,30,16.7,1
Nunavut,62,2024,33,2024-08-17,118,3.4,1
Canada,1,2024,33,2024-08-17,25409,15.6,
British Columbia,59,2024,34,2024-08-24,2623,17.9,1
Alberta,48,2024,34,2024-08-24,3213,9.5,1
Saskatchewan,47,2024,34,2024-08-24,1128,12.1,1
Manitoba,46,2024,34,2024-08-24,1121,15.3,1
Ontario,35,2024,34,2024-08-24,6120,15.7,1
Quebec,24,2024,34,2024-08-24,8755,21.1,1
Newfoundland and Labrador,10,2024,34,2024-08-24,580,11.4,1
New Brunswick,13,2024,34,2024-08-24,966,12.6,1
Nova Scotia,12,2024,34,2024-08-24,1069,22.9,1
Prince Edward Island,11,2024,34,2024-08-24,156,14.1,1
Yukon,60,2024,34,2024-08-24,39,5.1,1
Northwest Territories,61,2024,34,2024-08-24,31,9.7,1
Nunavut,62,2024,34,2024-08-24,94,9.6,1
Canada,1,2024,34,2024-08-24,25895,16.8,
British Columbia,59,2024,35,2024-08-31,2571,18.8,1
Alberta,48,2024,35,2024-08-31,3142,10.2,1
Saskatchewan,47,2024,35,2024-08-31,1091,12,1
Manitoba,46,2024,35,2024-08-31,1095,17.2,1
Ontario,35,2024,35,2024-08-31,6459,15.4,1
Quebec,24,2024,35,2024-08-31,9440,22.7,1
Newfoundland and Labrador,10,2024,35,2024-08-31,523,13.2,1
New Brunswick,13,2024,35,2024-08-31,1073,16.8,1
Nova Scotia,12,2024,35,2024-08-31,1198,20.6,1
Prince Edward Island,11,2024,35,2024-08-31,139,15.8,1
Yukon,60,2024,35,2024-08-31,46,21.7,1
Northwest Territories,61,2024,35,2024-08-31,26,30.8,1
Nunavut,62,2024,35,2024-08-31,107,4.7,1
Canada,1,2024,35,2024-08-31,26910,17.9,
British Columbia,59,2024,36,2024-09-07,2807,19.1,1
Alberta,48,2024,36,2024-09-07,3291,12,1
Saskatchewan,47,2024,36,2024-09-07,1140,13.2,1
Manitoba,46,2024,36,2024-09-07,1136,18.9,1
Ontario,35,2024,36,2024-09-07,5813,16.4,1
Quebec,24,2024,36,2024-09-07,9733,22.4,1
Newfoundland and Labrador,10,2024,36,2024-09-07,511,14.5,1
New Brunswick,13,2024,36,2024-09-07,1064,16.5,1
Nova Scotia,12,2024,36,2024-09-07,1205,18.9,1
Prince Edward Island,11,2024,36,2024-09-07,123,20.3,1
Yukon,60,2024,36,2024-09-07,33,18.2,1
Northwest Territories,61,2024,36,2024-09-07,42,23.8,1
Nunavut,62,2024,36,2024-09-07,91,5.5,1
Canada,1,2024,36,2024-09-07,26989,18.4,
British Columbia,59,2024,37,2024-09-14,2924,18.9,1
Alberta,48,2024,37,2024-09-14,3571,11.6,1
Saskatchewan,47,2024,37,2024-09-14,1305,12.8,1
Manitoba,46,2024,37,2024-09-14,1118,16.4,1
Ontario,35,2024,37,2024-09-14,7089,18.3,1
Quebec,24,2024,37,2024-09-14,10850,22.3,1
Newfoundland and Labrador,10,2024,37,2024-09-14,566,15.7,1
New Brunswick,13,2024,37,2024-09-14,1158,17.1,1
Nova Scotia,12,2024,37,2024-09-14,1331,18,1
Prince Edward Island,11,2024,37,2024-09-14,130,12.3,1
Yukon,60,2024,37,2024-09-14,56,23.2,1
Northwest Territories,61,2024,37,2024-09-14,37,18.9,1
Nunavut,62,2024,37,2024-09-14,97,9.3,1
Canada,1,2024,37,2024-09-14,30232,18.5,
British Columbia,59,2024,38,2024-09-21,2178,16.5,1
Alberta,48,2024,38,2024-09-21,3919,12,1
Saskatchewan,47,2024,38,2024-09-21,1324,13.4,1
Manitoba,46,2024,38,2024-09-21,1105,18,1
Ontario,35,2024,38,2024-09-21,7047,18.5,1
Quebec,24,2024,38,2024-09-21,11264,22.9,1
Newfoundland and Labrador,10,2024,38,2024-09-21,775,13,1
New Brunswick,13,2024,38,2024-09-21,1272,16,1
Nova Scotia,12,2024,38,2024-09-21,1339,20.8,1
Prince Edward Island,11,2024,38,2024-09-21,136,11,1
Yukon,60,2024,38,2024-09-21,50,8,1
Northwest Territories,61,2024,38,2024-09-21,47,12.8,1
Nunavut,62,2024,38,2024-09-21,111,9,1
Canada,1,2024,38,2024-09-21,30567,18.7,